BIN		ZERO	ONE
12.6-12.8	4	0
12.8-13.0	14	0
13.0-13.2	18	0
13.2-13.4	20	0
13.4-13.6	19	0
13.6-13.8	12	0
13.8-14.0	8	0
14.0-14.2	2	0
14.2-14.4	3	0
14.4-14.6	0	0
14.6-14.8	0	0
14.8-15.0	0	0
15.0-15.2	0	0
15.2-15.4	0	0
15.4-15.6	0	0
15.6-15.8	0	0
15.8-16.0	0	0
16.0-16.2	0	0
16.2-16.4	0	0
16.4-16.6	0	0
16.6-16.8	0	0
16.8-17.0	0	0
17.0-17.2	0	0
17.2-17.4	0	0
17.4-17.6	0	0
17.6-17.8	0	0
17.8-18.0	0	0
18.0-18.2	0	0
18.2-18.4	0	0
18.4-18.6	0	0
18.6-18.8	0	0
18.8-19.0	0	0
19.0-19.2	0	0
19.2-19.4	0	0
19.4-19.6	0	0
19.6-19.8	0	0
19.8-20.0	0	0
20.0-20.2	0	0
20.2-20.4	0	0
20.4-20.6	0	0
20.6-20.8	0	0
20.8-21.0	0	0
21.0-21.2	0	0
21.2-21.4	0	1
21.4-21.6	0	0
21.6-21.8	0	0
21.8-22.0	0	1
22.0-22.2	0	3
22.2-22.4	0	2
22.4-22.6	0	5
22.6-22.8	0	5
22.8-23.0	0	5
23.0-23.2	0	5
23.2-23.4	0	6
23.4-23.6	0	9
23.6-23.8	0	5
23.8-24.0	0	11
24.0-24.2	0	4
24.2-24.4	0	5
24.4-24.6	0	1
24.6-24.8	0	4
24.8-25.0	0	4
25.0-25.2	0	4
25.2-25.4	0	3
25.4-25.6	0	4
25.6-25.8	0	3
25.8-26.0	0	0
26.0-26.2	0	1
26.2-26.4	0	2
26.4-26.6	0	2
26.6-26.8	0	0
26.8-27.0	0	1
27.0-27.2	0	1
27.2-27.4	0	0
27.4-27.6	0	1
27.6-27.8	0	0
27.8-28.0	0	1
28.0-28.2	0	0
28.2-28.4	0	0
28.4-28.6	0	0
28.6-28.8	0	0
28.8-29.0	0	0
29.0-29.2	0	0
29.2-29.4	0	0
29.4-29.6	0	1
29.6-29.6	0	0
